CustomerID,credit_risk_score,credit_risk_band,MonthlyIncome,fraud_risk_score,fraud_risk_band,txn_count_1h,hybrid_risk_score,hybrid_risk_status
1000,60,Low Risk,6853.318181818182,65,Low Risk,2.676056338028169,62.5,Moderate
1001,60,Low Risk,4032.181818181818,90,Low Risk,2.7611940298507465,75.0,Hypersensitive
1002,70,Low Risk,5176.5,65,Low Risk,2.5106382978723403,67.5,Moderate
1003,60,Medium Risk,7552.576923076923,90,Low Risk,2.4615384615384617,75.0,Hypersensitive
1004,60,Low Risk,6095.235294117647,75,Low Risk,2.473684210526316,67.5,Moderate
1005,50,Low Risk,6901.571428571428,65,Low Risk,2.2666666666666666,57.5,Moderate
1006,60,Low Risk,7881.15,50,Low Risk,2.4444444444444446,55.0,Moderate
1007,60,Low Risk,5954.791666666667,90,Low Risk,2.4545454545454546,75.0,Hypersensitive
1008,50,Low Risk,7388.777777777777,50,Low Risk,1.9777777777777779,50.0,Moderate
1009,50,Low Risk,6427.411764705882,60,Low Risk,2.06,55.0,Moderate
1010,60,Low Risk,6119.652173913043,50,Low Risk,2.746031746031746,55.0,Moderate
1011,50,Medium Risk,6741.3448275862065,65,Low Risk,2.3529411764705883,57.5,Moderate
1012,50,Low Risk,9144.9,50,Low Risk,2.5,50.0,Moderate
1013,60,Low Risk,6446.185185185185,75,Low Risk,2.0535714285714284,67.5,Moderate
1014,60,Medium Risk,5847.1578947368425,50,Low Risk,2.240740740740741,55.0,Moderate
1015,60,Medium Risk,4624.952380952381,50,Low Risk,2.0576923076923075,55.0,Moderate
1016,50,Low Risk,5415.434782608696,65,Low Risk,1.98,57.5,Moderate
1017,50,Low Risk,7548.8,65,Low Risk,2.28,57.5,Moderate
1018,60,Low Risk,7080.678571428572,50,Low Risk,2.4727272727272727,55.0,Moderate
1019,60,Low Risk,4771.733333333334,75,Low Risk,2.6363636363636362,67.5,Moderate
1020,50,Low Risk,6109.16,75,Low Risk,2.84375,62.5,Moderate
1021,50,Low Risk,4970.304347826087,50,Low Risk,2.34375,50.0,Moderate
1022,60,Low Risk,5019.111111111111,50,Low Risk,1.8478260869565217,55.0,Moderate
1023,50,Low Risk,6188.869565217391,55,Low Risk,2.0,52.5,Moderate
1024,50,Low Risk,8065.05,75,Low Risk,2.2666666666666666,62.5,Moderate
1025,50,Low Risk,6343.434782608696,50,Low Risk,2.675675675675676,50.0,Moderate
1026,50,Low Risk,5936.9,90,Low Risk,2.7580645161290325,70.0,Hypersensitive
1027,60,Low Risk,5894.228571428572,75,Low Risk,2.6779661016949152,67.5,Moderate
1028,50,Low Risk,6347.176470588235,90,Low Risk,2.590909090909091,70.0,Hypersensitive
1029,60,Low Risk,7399.28,75,Low Risk,2.8181818181818183,67.5,Moderate
1030,60,Low Risk,5838.357142857143,65,Low Risk,2.24,62.5,Moderate
1031,60,Low Risk,4751.238095238095,50,Low Risk,2.46875,55.0,Moderate
1032,60,Low Risk,5658.9,60,Low Risk,2.3076923076923075,60.0,Moderate
1033,70,Low Risk,5823.6,50,Low Risk,2.2641509433962264,60.0,Moderate
1034,60,Low Risk,6063.44,75,Low Risk,2.909090909090909,67.5,Moderate
1035,60,Low Risk,4324.076923076923,60,Low Risk,2.958904109589041,60.0,Moderate
1036,60,Low Risk,4853.058823529412,50,Low Risk,2.0869565217391304,55.0,Moderate
1037,10,Low Risk,4896.8125,50,Low Risk,2.36,30.0,Standard
1038,60,Low Risk,6449.823529411765,50,Low Risk,2.0930232558139537,55.0,Moderate
1039,60,Low Risk,6137.8125,60,Low Risk,2.5714285714285716,60.0,Moderate
1040,50,Low Risk,5705.666666666667,90,Low Risk,2.36,70.0,Hypersensitive
1041,60,Medium Risk,5985.7692307692305,50,Low Risk,1.837837837837838,55.0,Moderate
1042,50,Medium Risk,6617.166666666667,75,Low Risk,2.358490566037736,62.5,Moderate
1043,60,Low Risk,7049.555555555556,75,Low Risk,2.1,67.5,Moderate
1044,60,Low Risk,5539.0,90,Low Risk,2.206896551724138,75.0,Hypersensitive
1045,50,Low Risk,7528.181818181818,50,Low Risk,2.175438596491228,50.0,Moderate
1046,60,Low Risk,5232.8,60,Low Risk,2.3859649122807016,60.0,Moderate
1047,60,Low Risk,5885.409090909091,75,Low Risk,2.4727272727272727,67.5,Moderate
1048,60,Low Risk,5158.444444444444,65,Low Risk,2.737704918032787,62.5,Moderate
1049,50,Low Risk,7600.916666666667,65,Low Risk,2.2222222222222223,57.5,Moderate
1050,50,Medium Risk,6214.111111111111,65,Low Risk,2.3958333333333335,57.5,Moderate
1051,50,Low Risk,5082.190476190476,75,Low Risk,2.4693877551020407,62.5,Moderate
1052,60,Low Risk,5159.0,65,Low Risk,2.6140350877192984,62.5,Moderate
1053,60,Low Risk,9392.611111111111,90,Low Risk,2.6842105263157894,75.0,Hypersensitive
1054,50,Low Risk,6031.727272727273,60,Low Risk,2.267857142857143,55.0,Moderate
1055,50,Medium Risk,7233.4,65,Low Risk,2.1627906976744184,57.5,Moderate
1056,60,Low Risk,4067.0,50,Low Risk,2.652173913043478,55.0,Moderate
1057,50,Low Risk,8408.125,60,Low Risk,2.4516129032258065,55.0,Moderate
1058,60,Low Risk,5595.153846153846,65,Low Risk,2.3137254901960786,62.5,Moderate
1059,50,Low Risk,4741.117647058823,90,Low Risk,2.4838709677419355,70.0,Hypersensitive
1060,50,Low Risk,5952.071428571428,50,Low Risk,2.3214285714285716,50.0,Moderate
1061,60,Low Risk,6034.666666666667,75,Low Risk,2.2,67.5,Moderate
1062,50,Low Risk,6100.166666666667,65,Low Risk,2.6666666666666665,57.5,Moderate
1063,50,Low Risk,5648.304347826087,60,Low Risk,2.217391304347826,55.0,Moderate
1064,50,Medium Risk,6115.6,75,Low Risk,2.442622950819672,62.5,Moderate
1065,60,Low Risk,6435.05,90,Low Risk,2.2884615384615383,75.0,Hypersensitive
1066,50,Low Risk,6010.615384615385,65,Low Risk,2.207547169811321,57.5,Moderate
1067,50,Low Risk,6155.222222222223,65,Low Risk,2.0961538461538463,57.5,Moderate
1068,50,Low Risk,6876.1578947368425,50,Low Risk,2.452830188679245,50.0,Moderate
1069,60,Low Risk,10662.625,75,Low Risk,2.4,67.5,Moderate
1070,50,Medium Risk,7187.409090909091,65,Low Risk,2.6122448979591835,57.5,Moderate
1071,60,Medium Risk,6015.6875,65,Low Risk,3.1911764705882355,62.5,Moderate
1072,60,Low Risk,6751.615384615385,65,Low Risk,2.2127659574468086,62.5,Moderate
1073,50,Low Risk,7044.545454545455,75,Low Risk,2.3137254901960786,62.5,Moderate
1074,60,Medium Risk,6901.571428571428,90,Low Risk,2.508771929824561,75.0,Hypersensitive
1075,50,Low Risk,6264.722222222223,55,Low Risk,2.8360655737704916,52.5,Moderate
1076,50,Medium Risk,4949.714285714285,50,Low Risk,2.3207547169811322,50.0,Moderate
1077,60,Low Risk,5890.2307692307695,90,Low Risk,2.5689655172413794,75.0,Hypersensitive
1078,50,Low Risk,7642.176470588235,55,Low Risk,2.753623188405797,52.5,Moderate
1079,60,Low Risk,7703.521739130435,65,Low Risk,2.4375,62.5,Moderate
1080,50,Low Risk,7316.9473684210525,75,Low Risk,2.0816326530612246,62.5,Moderate
1081,60,Medium Risk,5737.36,65,Low Risk,2.5142857142857142,62.5,Moderate
1082,70,Low Risk,5609.925925925926,65,Low Risk,2.5517241379310347,67.5,Moderate
1083,60,Low Risk,7177.5,65,Low Risk,2.8125,62.5,Moderate
1084,60,Low Risk,5055.692307692308,75,Low Risk,2.267857142857143,67.5,Moderate
1085,50,Low Risk,6683.85,90,Low Risk,2.5510204081632653,70.0,Hypersensitive
1086,70,Low Risk,6644.772727272727,50,Low Risk,2.1481481481481484,60.0,Moderate
1087,60,Medium Risk,4451.35,60,Low Risk,2.6818181818181817,60.0,Moderate
1088,60,Low Risk,4783.578947368421,50,Low Risk,2.0576923076923075,55.0,Moderate
1089,60,Low Risk,7081.333333333333,60,Low Risk,2.2653061224489797,60.0,Moderate
1090,60,Low Risk,5148.181818181818,65,Low Risk,2.1481481481481484,62.5,Moderate
1091,50,Low Risk,5307.071428571428,50,Low Risk,2.2857142857142856,50.0,Moderate
1092,60,Low Risk,7004.294117647059,65,Low Risk,2.462962962962963,62.5,Moderate
1093,50,Low Risk,6919.526315789473,90,Low Risk,2.1964285714285716,70.0,Hypersensitive
1094,60,Low Risk,6795.461538461538,65,Low Risk,2.326923076923077,62.5,Moderate
1095,60,Low Risk,7136.111111111111,50,Low Risk,2.5762711864406778,55.0,Moderate
1096,60,Low Risk,6925.357142857143,90,Low Risk,2.3518518518518516,75.0,Hypersensitive
1097,60,Low Risk,6292.611111111111,50,Low Risk,2.358490566037736,55.0,Moderate
1098,60,Medium Risk,5984.76,90,Low Risk,2.625,75.0,Hypersensitive
1099,60,Medium Risk,4548.631578947368,75,Low Risk,2.2459016393442623,67.5,Moderate
1100,50,Low Risk,5449.916666666667,50,Low Risk,2.4754098360655736,50.0,Moderate
1101,50,Low Risk,4894.227272727273,50,Low Risk,2.0869565217391304,50.0,Moderate
1102,60,Low Risk,5898.818181818182,75,Low Risk,2.6538461538461537,67.5,Moderate
1103,50,Medium Risk,5673.578947368421,50,Low Risk,2.210526315789474,50.0,Moderate
1104,50,Low Risk,6492.9047619047615,75,Low Risk,2.517857142857143,62.5,Moderate
1105,60,Medium Risk,6443.0952380952385,50,Low Risk,2.2291666666666665,55.0,Moderate
1106,60,Low Risk,5613.314285714286,55,Low Risk,2.45,57.5,Moderate
1107,60,Low Risk,5981.333333333333,50,Low Risk,2.8,55.0,Moderate
1108,50,Low Risk,7572.944444444444,75,Low Risk,2.106382978723404,62.5,Moderate
1109,50,Low Risk,6766.0,50,Low Risk,3.037037037037037,50.0,Moderate
1110,70,Medium Risk,6123.72,75,Low Risk,2.8219178082191783,72.5,Hypersensitive
1111,60,Low Risk,7379.458333333333,65,Low Risk,2.4035087719298245,62.5,Moderate
1112,70,Medium Risk,5008.086956521739,65,Low Risk,2.327272727272727,67.5,Moderate
1113,60,Low Risk,6635.473684210527,90,Low Risk,2.389830508474576,75.0,Hypersensitive
1114,60,Low Risk,6021.235294117647,50,Low Risk,2.8548387096774195,55.0,Moderate
1115,60,Low Risk,4118.0,50,Low Risk,2.4,55.0,Moderate
1116,50,Low Risk,6583.086956521739,50,Low Risk,2.25,50.0,Moderate
1117,60,Low Risk,6291.823529411765,90,Low Risk,2.661290322580645,75.0,Hypersensitive
1118,50,Low Risk,6006.636363636364,50,Low Risk,1.9523809523809523,50.0,Moderate
1119,60,Medium Risk,7739.818181818182,50,Low Risk,2.508771929824561,55.0,Moderate
1120,50,Low Risk,6843.2307692307695,60,Low Risk,2.870967741935484,55.0,Moderate
1121,60,Low Risk,5402.478260869565,50,Low Risk,2.90625,55.0,Moderate
1122,60,Low Risk,5839.16,65,Low Risk,2.4,62.5,Moderate
1123,50,Medium Risk,6883.565217391304,50,Low Risk,2.288135593220339,50.0,Moderate
1124,50,Medium Risk,6067.5625,65,Low Risk,2.4814814814814814,57.5,Moderate
1125,50,Low Risk,5412.7692307692305,60,Low Risk,2.661764705882353,55.0,Moderate
1126,50,Low Risk,6030.631578947368,65,Low Risk,2.753846153846154,57.5,Moderate
1127,50,Low Risk,6964.833333333333,50,Low Risk,2.4237288135593222,50.0,Moderate
1128,30,Low Risk,7794.642857142857,65,Low Risk,2.280701754385965,47.5,Moderate
1129,60,Low Risk,5956.0952380952385,65,Low Risk,2.088888888888889,62.5,Moderate
1130,50,Low Risk,6053.863636363636,75,Low Risk,2.2142857142857144,62.5,Moderate
1131,60,Medium Risk,5090.565217391304,60,Low Risk,2.2363636363636363,60.0,Moderate
1132,60,Low Risk,5280.809523809524,65,Low Risk,2.634920634920635,62.5,Moderate
1133,60,Low Risk,6161.391304347826,50,Low Risk,2.5714285714285716,55.0,Moderate
1134,60,Medium Risk,4264.0625,90,Low Risk,2.4603174603174605,75.0,Hypersensitive
1135,50,Low Risk,10782.28,75,Low Risk,2.707692307692308,62.5,Moderate
1136,50,Low Risk,5738.315789473684,65,Low Risk,2.2857142857142856,57.5,Moderate
1137,60,Low Risk,5100.583333333333,90,Low Risk,2.621212121212121,75.0,Hypersensitive
1138,70,Low Risk,5700.857142857143,50,Low Risk,2.2142857142857144,60.0,Moderate
1139,50,Medium Risk,6469.0,50,Low Risk,2.3518518518518516,50.0,Moderate
1140,50,Low Risk,5092.95,65,Low Risk,2.609375,57.5,Moderate
1141,60,Low Risk,7266.277777777777,65,Low Risk,2.442622950819672,62.5,Moderate
1142,50,Low Risk,7256.5,90,Low Risk,2.45,70.0,Hypersensitive
1143,50,Low Risk,5102.6,65,Low Risk,2.721311475409836,57.5,Moderate
1144,50,Low Risk,4984.1,60,Low Risk,2.1724137931034484,55.0,Moderate
1145,60,Low Risk,5317.055555555556,50,Low Risk,2.230769230769231,55.0,Moderate
1146,60,Medium Risk,6222.260869565217,60,Low Risk,2.403225806451613,60.0,Moderate
1147,60,Low Risk,8237.066666666668,50,Low Risk,2.2,55.0,Moderate
1148,60,Low Risk,6918.826086956522,50,Low Risk,1.725,55.0,Moderate
1149,60,Low Risk,5471.4,75,Low Risk,2.7777777777777777,67.5,Moderate
1150,60,Low Risk,4942.5,65,Low Risk,2.396551724137931,62.5,Moderate
1151,50,Low Risk,7590.545454545455,50,Low Risk,2.435483870967742,50.0,Moderate
1152,50,Low Risk,4716.789473684211,65,Low Risk,2.0444444444444443,57.5,Moderate
1153,60,Medium Risk,6239.56,90,Low Risk,2.2950819672131146,75.0,Hypersensitive
1154,60,Low Risk,6677.714285714285,60,Low Risk,2.3461538461538463,60.0,Moderate
1155,60,Low Risk,5165.576923076923,50,Low Risk,2.0,55.0,Moderate
1156,60,Low Risk,5959.0,65,Low Risk,2.2280701754385963,62.5,Moderate
1157,60,Medium Risk,4591.2,65,Low Risk,2.404255319148936,62.5,Moderate
1158,50,Low Risk,6199.521739130435,50,Low Risk,2.0425531914893615,50.0,Moderate
1159,60,Low Risk,5424.6,50,Low Risk,2.0,55.0,Moderate
1160,50,Medium Risk,6845.576923076923,50,Low Risk,2.450980392156863,50.0,Moderate
1161,60,Medium Risk,5982.541666666667,60,Low Risk,1.875,60.0,Moderate
